# t,x,z,Vx,Vz,T,L,D,R,N_water
6.233000000000000540e+00,4.462407611636130156e+01,1.529929605326325603e+00,1.476550004306641561e+01,1.124874453674118868e+00,3.289177393698739706e+02,8.031944441874609311e+02,8.352364995918171076e+01,8.352364995918171076e+01,0.000000000000000000e+00
6.233999999999999986e+00,4.463884391306269350e+01,1.531054891303460952e+00,1.476779670139399059e+01,1.125285977135294324e+00,3.288485917231806184e+02,8.031814663581876630e+02,8.354458061055822782e+01,8.354458061055822782e+01,0.000000000000000000e+00
6.235000000000000320e+00,4.465361400515386237e+01,1.532180588533580856e+00,1.477009209117094102e+01,1.125697230119845127e+00,3.287794714150724076e+02,8.031685005970657585e+02,8.356550486285287604e+01,8.356550486285287604e+01,0.000000000000000000e+00
6.235999999999999766e+00,4.466838639136683753e+01,1.533306696746408404e+00,1.477238621297852283e+01,1.126108212827596100e+00,3.287103784460832685e+02,8.031555468880519584e+02,8.358642271175187943e+01,8.358642271175187943e+01,0.000000000000000000e+00
6.237000000000000099e+00,4.468316107043423813e+01,1.534433215671866524e+00,1.477467906739782677e+01,1.126518925458160236e+00,3.286413128167312152e+02,8.031426052151331305e+02,8.360733415295436544e+01,8.360733415295436544e+01,0.000000000000000000e+00
6.238000000000000433e+00,4.469793804108924462e+01,1.535560145040077540e+00,1.477697065500978013e+01,1.126929368210939142e+00,3.285722745275181182e+02,8.031296755623266108e+02,8.362823918217237917e+01,8.362823918217237917e+01,0.000000000000000000e+00
6.238999999999999879e+00,4.471271730206564143e+01,1.536687484581362728e+00,1.477926097639514502e+01,1.127339541285123259e+00,3.285032635789294773e+02,8.031167579136811128e+02,8.364913779513091185e+01,8.364913779513091185e+01,0.000000000000000000e+00
6.240000000000000213e+00,4.472749885209777432e+01,1.537815234026242317e+00,1.478155003213451479e+01,1.127749444879692753e+00,3.284342799714348189e+02,8.031038522532749084e+02,8.367002998756775867e+01,8.367002998756775867e+01,0.000000000000000000e+00
6.241000000000000547e+00,4.474228268992058588e+01,1.538943393105435709e+00,1.478383782280832293e+01,1.128159079193417069e+00,3.283653237054877536e+02,8.030909585652159421e+02,8.369091575523364668e+01,8.369091575523364668e+01,0.000000000000000000e+00
6.241999999999999993e+00,4.475706881426958006e+01,1.540071961549860591e+00,1.478612434899683237e+01,1.128568444424855821e+00,3.282963947815256347e+02,8.030780768336438769e+02,8.371179509389205009e+01,8.371179509389205009e+01,0.000000000000000000e+00
6.243000000000000327e+00,4.477185722388085765e+01,1.541200939090632938e+00,1.478840961128014442e+01,1.128977540772359234e+00,3.282274931999698993e+02,8.030652070427272520e+02,8.373266799931934656e+01,8.373266799931934656e+01,0.000000000000000000e+00
6.243999999999999773e+00,4.478664791749109497e+01,1.542330325459067009e+00,1.479069361023819518e+01,1.129386368434068144e+00,3.281586189612257272e+02,8.030523491766654161e+02,8.375353446730458984e+01,8.375353446730458984e+01,0.000000000000000000e+00
6.245000000000000107e+00,4.480144089383754391e+01,1.543460120386674905e+00,1.479297634645075377e+01,1.129794927607914667e+00,3.280897720656826095e+02,8.030395032196872762e+02,8.377439449364968027e+01,8.377439449364968027e+01,0.000000000000000000e+00
6.246000000000000441e+00,4.481623615165803898e+01,1.544590323605166571e+00,1.479525782049742766e+01,1.130203218491622419e+00,3.280209525137138939e+02,8.030266691560518666e+02,8.379524807416920851e+01,8.379524807416920851e+01,0.000000000000000000e+00
6.246999999999999886e+00,4.483103368969099733e+01,1.545720934846449346e+00,1.479753803295765557e+01,1.130611241282706958e+00,3.279521603056768981e+02,8.030138469700484620e+02,8.381609520469055497e+01,8.381609520469055497e+01,0.000000000000000000e+00
6.248000000000000220e+00,4.484583350667540458e+01,1.546851953842627747e+00,1.479981698441071281e+01,1.131018996178476232e+00,3.278833954419131373e+02,8.030010366459954412e+02,8.383693588105367667e+01,8.383693588105367667e+01,0.000000000000000000e+00
6.249000000000000554e+00,4.486063560135084316e+01,1.547983380326003688e+00,1.480209467543571122e+01,1.131426483376030800e+00,3.278146579227480402e+02,8.029882381682402865e+02,8.385777009911124935e+01,8.385777009911124935e+01,0.000000000000000000e+00
6.250000000000000000e+00,4.487543997245745686e+01,1.549115214029076038e+00,1.480437110661159572e+01,1.131833703072264052e+00,3.277459477484912327e+02,8.029754515211620856e+02,8.387859785472869589e+01,8.387859785472869589e+01,0.000000000000000000e+00
6.251000000000000334e+00,4.489024661873597211e+01,1.550247454684539949e+00,1.480664627851714776e+01,1.132240655463862877e+00,3.276772649194363112e+02,8.029626766891685747e+02,8.389941914378397314e+01,8.389941914378397314e+01,0.000000000000000000e+00
6.251999999999999780e+00,4.490505553892770507e+01,1.551380102025287311e+00,1.480892019173098362e+01,1.132647340747308107e+00,3.276086094358612399e+02,8.029499136566961397e+02,8.392023396216760034e+01,8.392023396216760034e+01,0.000000000000000000e+00
6.253000000000000114e+00,4.491986673177453326e+01,1.552513155784406296e+00,1.481119284683155435e+01,1.133053759118874293e+00,3.275399812980279535e+02,8.029371624082115204e+02,8.394104230578278703e+01,8.394104230578278703e+01,0.000000000000000000e+00
